ra,dec,Z_1,ZWARNING,CLASS,SPECOBJID,objID,dered_u,dered_g,dered_r,dered_i,dered_z,run,camcol,field
342.87847121305,-0.972958896557661,1.9818789,4,QSO,b'    761166097926875136',1237645876864024825,21.1242,-9999.0,20.2298,19.79041,19.62511,94,1,53
2.1441939402352,0.0198107827455548,2.9751384,4,QSO,b'  10585894677449562112',1237645877946221350,-9999.0,-9999.0,21.17978,21.40793,20.54608,94,3,182
51.1574036343349,0.0185401674255371,4.916292,4,QSO,b'    801693546787661824',1237645877967717032,-9999.0,-9999.0,21.07233,20.37166,20.23519,94,3,510
356.647226049083,0.358142614914247,1.303576,4,QSO,b'  10368641894117038080',1237645878480667262,-9999.0,-9999.0,20.95867,-9999.0,-9999.0,94,4,145
44.4839345421426,-1.25039539883168,1.8395685,4,QSO,b'   8804586866705979392',1237645941289320983,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,109,1,65
37.4384995141523,-0.741386530112678,1.2472609,4,QSO,b'   4106216150878410752',1237645941823177077,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,109,2,19
55.1036358789877,0.603443881495792,2.5685782,4,QSO,b'   2972493476869990400',1237645943441523127,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,109,5,137
39.4012315918301,-0.333978248188805,1.6499712,4,QSO,b'   7634769979636996096',1237646011100365524,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,125,3,337
56.0056365935399,-0.205798392261931,1.864508,4,QSO,b'    468404903077767168',1237646011107639514,19.34439,-9999.0,19.53892,19.78081,19.90543,125,3,448
55.6981080546046,0.039303864530707,1.0918016,4,QSO,b'    468416174313465856',1237646011644444867,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,125,4,447
354.671820856664,0.46509308761896,1.0081018,4,QSO,b'  10359422214877763584',1237646012154511940,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,125,5,38
5.31251424943389,0.427595243161448,1.0354275,4,QSO,b'  10590219057151367168',1237646012159230439,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,125,5,110
9.86451112506319,0.848489112442553,1.5957043,4,QSO,b'  10598214705926658048',1237646012698067528,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,125,6,140
47.9690369521675,-0.638114636681421,1.3828999,4,QSO,b'   1327471768536901632',1237646379911675972,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,211,2,47
22.3829650419086,-0.817486433870339,1.0991637,4,QSO,b'  10577869618197846016',1237646504466449011,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,240,2,58
27.4671734123617,-0.643672333642067,4.9795017,4,QSO,b'   9900053672909625344',1237646504468677335,-9999.0,-9999.0,22.20347,-9999.0,-9999.0,240,2,92
36.1343632556483,-0.688030605026527,1.7204722,4,QSO,b'  10563238685687699456',1237646504472543953,22.65082,22.21482,-9999.0,20.61609,22.72132,240,2,151
36.5845862279393,0.520944490166945,1.0451336,4,QSO,b'   7172160357250914304',1237646506083352852,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,240,5,154
50.8080453214862,0.0473440328417366,3.9547932,4,QSO,b'    906448973793880064',1237646509835485504,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,241,4,63
48.1158731937712,-0.407635499742831,1.3754946,4,QSO,b'    904121303231916032',1237646547427393854,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,250,2,230
36.7871219643851,-0.206362461771541,2.0624142,4,QSO,b'   7633698230560380928',1237646586617069974,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,259,3,201
37.5616410442972,1.18047752679133,4.5910115,4,QSO,b'   1699093509702707200',1237646588228075779,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,259,6,207
32.1564864054584,-1.25009829984071,1.9789085,4,QSO,b'   8825044379616172032',1237646645669462339,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,273,1,149
23.7740193217967,-0.615335229120144,1.8903387,4,QSO,b'  10582459529689323520',1237646646202598295,-9999.0,23.16908,23.12835,21.38559,21.13842,273,2,92
16.1537733565232,0.440492437750027,3.4879665,4,QSO,b'   8865513559729395712',1237646647809868500,-9999.0,-9999.0,21.78499,-9999.0,-9999.0,273,5,41
50.719216728725,-1.14631998766606,1.7889794,4,QSO,b'    906433580631091200',1237646705796121159,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,287,1,105
135.134322683745,-0.309505029336001,3.0887773,4,QSO,b'  14111170588744898560',1237646796533072412,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,308,2,193
